periodid,periodname,periodcode,perioddescription,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,Total under five Diarrhoea cases reported
202201,January 2022,202201,,vvOK1BxTbet,Baringo County,KE_County_30,,2559.0
202201,January 2022,202201,,HMNARUV2CW4,Bomet County,KE_County_36,,2848.0
202201,January 2022,202201,,KGHhQ5GLd4k,Bungoma County,KE_County_39,,3731.0
202201,January 2022,202201,,Tvf1zgVZ0K4,Busia County,KE_County_40,,1838.0
202201,January 2022,202201,,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,1646.0
202201,January 2022,202201,,PFu8alU2KWG,Embu County,KE_County_14,,1202.0
202201,January 2022,202201,,uyOrcHZBpW0,Garissa County,KE_County_7,,3649.0
202201,January 2022,202201,,nK0A12Q7MvS,Homa Bay County,KE_County_43,,1605.0
202201,January 2022,202201,,bzOfj0iwfDH,Isiolo County,KE_County_11,,2012.0
202201,January 2022,202201,,Hsk1YV8kHkT,Kajiado County,KE_County_34,,3880.0
202201,January 2022,202201,,BjC1xL40gHo,Kakamega County,KE_County_37,,2729.0
202201,January 2022,202201,,ihZsJ8alvtb,Kericho County,KE_County_35,,3603.0
202201,January 2022,202201,,qKzosKQPl6G,Kiambu County,KE_County_22,,5140.0
202201,January 2022,202201,,nrI2khZx3d0,Kilifi County,KE_County_3,,9894.0
202201,January 2022,202201,,Ulj33KBau7V,Kirinyaga County,KE_County_20,,1602.0
202201,January 2022,202201,,sPkRcDvhGWA,Kisii County,KE_County_45,,2121.0
202201,January 2022,202201,,tAbBVBbueqD,Kisumu County,KE_County_42,,3192.0
202201,January 2022,202201,,j8o6iO4Njsi,Kitui County,KE_County_15,,3112.0
202201,January 2022,202201,,N7YETT3A9r1,Kwale County,KE_County_2,,4780.0
202201,January 2022,202201,,xuFdFy6t9AH,Laikipia County,KE_County_31,,1522.0
202201,January 2022,202201,,NjWSbQTwys4,Lamu County,KE_County_5,,974.0
202201,January 2022,202201,,yhCUgGcCcOo,Machakos County,KE_County_16,,4161.0
202201,January 2022,202201,,BoDytkJQ4Qi,Makueni County,KE_County_17,,3434.0
202201,January 2022,202201,,R6f9znhg37c,Mandera County,KE_County_9,,5640.0
202201,January 2022,202201,,Eey8fT4Im3y,Marsabit County,KE_County_10,,1935.0
202201,January 2022,202201,,Y52XNJ50hYb,Meru County,KE_County_12,,2343.0
202201,January 2022,202201,,fVra3Pwta0Q,Migori County,KE_County_44,,2458.0
202201,January 2022,202201,,wsBsC6gjHvn,Mombasa County,KE_County_1,,4383.0
202201,January 2022,202201,,ahwTMNAJvrL,Muranga County,KE_County_21,,2120.0
202201,January 2022,202201,,jkG3zaihdSs,Nairobi County,KE_County_47,,9659.0
202201,January 2022,202201,,ob6SxuRcqU4,Nakuru County,KE_County_32,,6831.0
202201,January 2022,202201,,t0J75eHKxz5,Nandi County,KE_County_29,,1866.0
202201,January 2022,202201,,kqJ83J2D72s,Narok County,KE_County_33,,2882.0
202201,January 2022,202201,,uepLTG8wGWJ,Nyamira County,KE_County_46,,1218.0
